,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
272,AXSUSDT,ADAUSDT,0.01,-3.83,-3.37,31.89,47
949,EOSUSDT,FIREUSDT,0.04,-3.44,-3.37,3.36,44
625,DGBUSDT,FORTHUSDT,0.01,-3.88,-3.37,0.01,43
8,10000COQUSDT,API3USDT,0.04,-3.39,-3.37,0.01,42
418,BATUSDT,HFTUSDT,0.01,-4.07,-3.37,1.49,41
374,AXSUSDT,FLRUSDT,0.0,-4.13,-3.37,2267.26,41
56,1000RATSUSDT,CFXUSDT,0.01,-3.9,-3.37,0.24,41
54,1000RATSUSDT,BAKEUSDT,0.0,-4.35,-3.37,0.06,40
1164,FORTHUSDT,HOTUSDT,0.0,-5.33,-3.37,453.96,40
412,BATUSDT,1000BTTUSDT,0.03,-3.51,-3.37,555.36,38
981,FILUSDT,FIREUSDT,0.03,-3.49,-3.37,49.41,38
1340,HOTUSDT,FILUSDT,0.01,-4.02,-3.37,0.0,37
1345,HOTUSDT,FLRUSDT,0.01,-4.02,-3.37,0.22,37
637,DOTUSDT,FIREUSDT,0.02,-3.7,-3.37,31.12,36
60,1000RATSUSDT,FOXYUSDT,0.01,-3.86,-3.37,4.14,36
999,FLOWUSDT,10000NFTUSDT,0.03,-3.51,-3.37,697.71,36
514,CFXUSDT,FOXYUSDT,0.0,-5.28,-3.37,16.94,36
1165,FOXYUSDT,BAKEUSDT,0.02,-3.64,-3.37,0.01,36
1138,FORTHUSDT,FITFIUSDT,0.0,-5.33,-3.37,254.79,35
366,AXSUSDT,ETHUSDT,0.01,-3.84,-3.37,0.04,35
627,DGBUSDT,HBARUSDT,0.02,-3.67,-3.37,0.09,35
979,FETUSDT,HIGHUSDT,0.0,-5.04,-3.37,0.13,35
560,CVXUSDT,FETUSDT,0.0,-4.2,-3.37,60.29,35
896,ENJUSDT,DATAUSDT,0.0,-5.47,-3.37,31.67,35
104,1CATUSDT,BAKEUSDT,0.01,-3.94,-3.37,0.01,34
399,BADGERUSDT,BBUSDT,0.02,-3.75,-3.37,5.7,34
1064,FORTHUSDT,ARKUSDT,0.0,-5.5,-3.37,10.54,34
1330,HOTUSDT,DYDXUSDT,0.0,-4.2,-3.37,0.0,34
971,ETHUSDT,HOTUSDT,0.04,-3.39,-3.37,282693.66,34
1349,HOTUSDT,FTNUSDT,0.01,-3.82,-3.37,0.0,33
19,10000SATSUSDT,AUCTIONUSDT,0.04,-3.38,-3.37,0.0,33
1342,HOTUSDT,FITFIUSDT,0.01,-3.8,-3.37,0.56,33
155,AIUSDT,COMBOUSDT,0.03,-3.56,-3.37,1.12,33
45,1000IQ50USDT,1000RATSUSDT,0.0,-4.75,-3.37,0.82,33
